vol.	page	parva	adhy.	from v.	to v.	ipage	
6	480	14	27	8	17	25a	
6	481	14	27	18	24	25b	
6	481	14	28	1	2	25b	
6	482	14	28	3	15	26a	
6	483	14	28	16	28	26b	
6	483	14	29	1	3	26b	
6	484	14	29	4	22	27a	
6	484	14	30	1	2	27a	
6	485	14	30	3	22	27b	
6	486	14	30	23	33	28a	
6	486	14	31	1	5	28a	
6	487	14	31	6	13	28b	
6	487	14	32	1	9	28b	
6	488	14	32	10	25	29a	
6	489	14	32	26	26	29b	
6	489	14	33	1	8	29b	
6	489	14	34	1	3	29b	
6	490	14	34	4	11	30a	
6	491	14	34	12	12	30b	
6	491	14	35	1	13	30b	
6	492	14	35	14	26	31a	
6	493	14	35	27	42	31b	
6	494	14	35	43	50	32a	
6	494	14	36	1	2	32a	
6	495	14	36	3	15	32b	
6	496	14	36	16	33	33a	
6	497	14	36	34	36	33b	
6	497	14	37	1	14	33b	
6	498	14	37	15	18	34a	
6	498	14	38	1	14	34a	
6	499	14	38	15	15	34b	
6	499	14	39	1	14	34b	
6	500	14	39	15	25	35a	
6	500	14	40	1	5	35a	
6	501	14	40	6	13	35b	
6	501	14	41	1	5	35b	
6	502	14	42	1	10	36a	
6	503	14	42	11	32	36b	
6	504	14	42	33	50	37a	
6	505	14	42	51	63	37b	
6	506	14	42	64	67	38a	
6	506	14	43	1	15	38a	
6	507	14	43	16	32	38b	
6	508	14	43	33	43	39a	
6	509	14	44	1	21	39b	
6	510	14	44	22	22	40a	
6	510	14	45	1	10	40a	
6	511	14	45	11	25	40b	
6	511	14	46	1	5	40b	
6	512	14	46	6	30	41a	
6	513	14	46	31	56	41b	
6	514	14	46	57	58	42a	
6	514	14	47	1	16	42a	
6	515	14	47	17	17	42b	
6	515	14	48	1	5	42b	
6	516	14	48	6	13	43a	
6	516	14	49	1	1	43a	
6	517	14	49	2	16	43b	
6	518	14	49	17	17	44a	
6	518	14	50	1	12	44a	
6	519	14	50	13	27	44b	
6	520	14	50	28	42	45a	
6	521	14	50	43	56	45b	
6	521	14	51	1	3	45b	
6	522	14	51	4	16	46a	
6	523	14	51	17	34	46b	
6	524	14	51	35	52	47a	
6	525	14	52	1	24	47b	
6	526	14	52	25	50	48a	
6	527	14	52	51	58	48b	
6	527	14	53	1	10	48b	
6	528	14	53	11	26	49a	
