<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>48550<pc>3-063-c<k1>daGna<k2>°daGna/	{#°daGna/#}

<L>48589<pc>3-064-c<k1>daRqaDfk<k2>°daRqaDfk	{#°daRqaDfk#}

<L>48705<pc>3-066-a<k1>dattahasta<k2>°dattahasta	{#°dattahasta#}

<L>48985<pc>3-069-a<k1>damaka<k2>°damaka	{#°damaka#}

<L>49008<pc>3-069-b<k1>damBaka<k2>°damBaka	{#°damBaka#}

<L>49094<pc>3-071-b<k1>darpin<k2>°darpin	{#°darpin#}

<L>49705<pc>3-082-a<k1>dApin<k2>°dApin	{#°dApin#}

<L>51749<pc>3-109-a<k1>duha<k2>°duha	{#°duha#}

<L>51885<pc>3-110-c<k1>dUza<k2>°dUza	{#°dUza#}

<L>51893<pc>3-111-a<k1>dUzayitar<k2>°dUzayitar	{#°dUzayitar#}

<L>51896<pc>3-111-a<k1>dUzin<k2>°dUzin	{#°dUzin#}

<L>51905<pc>3-111-a<k1>dUsa<k2>°dUsa	{#°dUsa#}

<L>51924<pc>3-111-b<k1>dfkza<k2>°dfkza	{#°dfkza#}

<L>52065<pc>3-113-a<k1>dfSvan<k2>°dfSvan	{#°dfSvan#}

<L>52129<pc>3-113-c<k1>dfh<k2>°dfh	{#°dfh#}

<L>52723<pc>3-120-b<k1>deSaka<k2>°deSaka	{#°deSaka#}

<L>52742<pc>3-120-c<k1>deSarakzin<k2>°deSarakzin	{#°deSarakzin#}

<L>52902<pc>3-122-c<k1>dEvatya<k2>°dEvatya	{#°dEvatya#}

<L>53239<pc>3-126-c<k1>dyus<k2>°dyus	{#°dyus#}

<L>53439<pc>3-129-b<k1>drAvin<k2>°drAvin	{#°drAvin#}

<L>53630<pc>3-132-b<k1>dvayasa<k2>°dvayasa	{#°dvayasa#}

<L>53660<pc>3-132-c<k1>dvAtriMSikA<k2>°dvAtriMSikA	{#°dvAtriMSikA#}

<L>53746<pc>3-133-c<k1>dvAratva<k2>°dvAratva	{#°dvAratva#}

<L>54340<pc>3-140-b<k1>Dak<k2>°Dak	{#°Dak#}

<L>55098<pc>3-156-b<k1>DAtula<k2>°DAtula	{#°DAtula#}

<L>55353<pc>3-160-b<k1>DAva<k2>°DAva	{#°DAva#}

<L>55549<pc>3-163-c<k1>DUpin<k2>°DUpin	{#°DUpin#}

<L>55646<pc>3-165-a<k1>DUrgata<k2>°DUrgata	{#°DUrgata#}

<L>55709<pc>3-165-c<k1>Dfk<k2>°Dfk	{#°Dfk#}

<L>55710<pc>3-165-c<k1>Dft<k2>°Dft	{#°Dft#}

<L>55863<pc>3-167-c<k1>Dma<k2>°Dma	{#°Dma#}

<L>55925<pc>3-168-c<k1>Dra<k2>°Dra	{#°Dra#}

<L>56008<pc>3-170-a<k1>DvaMsakArin<k2>°DvaMsakArin	{#°DvaMsakArin#}

<L>56528<pc>3-177-b<k1>nandanaka<k2>°nandanaka	{#°nandanaka#}

<L>57581<pc>3-192-a<k1>nAwitaka<k2>°nAwitaka	{#°nAwitaka#}

<L>58108<pc>3-198-c<k1>nASanakara<k2>°nASanakara	{#°nASanakara#}

<L>58186<pc>3-199-c<k1>niMsin<k2>°niMsin	{#°niMsin#}

<L>58319<pc>3-201-b<k1>nigAdin<k2>°nigAdin	{#°nigAdin#}

<L>58370<pc>3-202-a<k1>niGAtin<k2>°niGAtin	{#°niGAtin#}

<L>58515<pc>3-204-a<k1>nidarSin<k2>°nidarSin	{#°nidarSin#}

<L>58604<pc>3-205-b<k1>ninayanIya<k2>°ninayanIya	{#°ninayanIya#}

<L>58609<pc>3-205-b<k1>ninAdin<k2>°ninAdin	{#°ninAdin#}

<L>58613<pc>3-205-b<k1>ninIzA<k2>°ninIzA	{#°ninIzA#}

<L>58626<pc>3-205-b<k1>nindin<k2>°nindin	{#°nindin#}

<L>58692<pc>3-206-c<k1>niBa<k2>°niBa	{#°niBa#}

<L>58867<pc>3-209-a<k1>nirati<k2>°nirati	{#°nirati#}

<L>58915<pc>3-209-c<k1>niraBilAza<k2>°niraBilAza	{#°niraBilAza#}

<L>59060<pc>3-211-c<k1>nirASakara<k2>°nirASakara	{#°nirASakara#}

<L>59205<pc>3-214-a<k1>niroDaka<k2>°niroDaka	{#°niroDaka#}

<L>59242<pc>3-214-b<k1>nirgrAhya<k2>°nirgrAhya	{#°nirgrAhya#}

<L>59248<pc>3-214-b<k1>nirGAtakara<k2>°nirGAtakara	{#°nirGAtakara#}

<L>59301<pc>3-215-a<k1>nirRAyaka<k2>°nirRAyaka	{#°nirRAyaka#}

<L>59336<pc>3-215-c<k1>nirdiDArayizA<k2>°nirdiDArayizA	{#°nirdiDArayizA#}

<L>59379<pc>3-216-a<k1>nirnASin<k2>°nirnASin	{#°nirnASin#}

<L>59514<pc>3-218-a<k1>niryAtaka<k2>°niryAtaka	{#°niryAtaka#}

<L>59613<pc>3-219-a<k1>nirvApaka<k2>°nirvApaka	{#°nirvApaka#}

<L>59627<pc>3-219-b<k1>nirvAhin<k2>°nirvAhin	{#°nirvAhin#}

<L>59790<pc>3-221-c<k1>nivArin<k2>°nivArin	{#°nivArin#}

<L>59810<pc>3-222-a<k1>nivivftsu<k2>°nivivftsu	{#°nivivftsu#}

<L>59825<pc>3-222-b<k1>nivedin<k2>°nivedin	{#°nivedin#}

<L>59832<pc>3-222-c<k1>niveSavant<k2>°niveSavant	{#°niveSavant#}

