<L>16<pc>1-001-a<k1>aMSay<k2>*aMSay	*!√{#aMSay#}
<L>126164<pc>7-145-a<k1>suww<k2>*suww	*√{#suww#}

<L>126335<pc>7-147-b<k1>sudinAy<k2>*sudinAy	*!√{#sudinAy#}

<L>127183<pc>7-158-b<k1>sumanAy<k2>*sumanAy	*!√{#sumanAy#}

<L>127351<pc>7-160-b<k1>sur<k2>*sur	*√{#sur#}

<L>127394<pc>7-161-a<k1>surajAy<k2>*surajAy	*!√{#surajAy#}

<L>128492<pc>7-174-b<k1>suh<k2>*suh	*√{#suh#}

<L>129081<pc>7-182-a<k1>sUz<k2>*sUz	*√{#sUz#}

<L>129175<pc>7-183-b<k1>sek<k2>*sek	*√{#sek#}

<L>129280<pc>7-184-c<k1>sel<k2>*sel	*√{#sel#}

<L>129420<pc>7-186-c<k1>sowAy<k2>*sowAy	*!√{#sowAy#}

<L>129426<pc>7-186-c<k1>soQAy<k2>*soQAy	*!√{#soQAy#}

<L>130333<pc>7-198-b<k1>skuB<k2>*skuB	*√{#skuB#}

<L>130338<pc>7-198-b<k1>sKad<k2>*sKad	*√{#sKad#}

<L>130346<pc>7-198-c<k1>sKuqa<k2>*sKuqa	*√{#sKuqa#}

<L>130347<pc>7-198-c<k1>stak<k2>*stak	*√{#stak#}

<L>130434<pc>7-200-c<k1>stam<k2>*stam	*√{#stam#}

<L>130477<pc>7-202-a<k1>starkz<k2>*starkz	*√{#starkz#}

<L>130515<pc>7-202-b<k1>stip<k2>*stip	*√{#stip#}

<L>130525<pc>7-202-b<k1>stIm<k2>*stIm	*√{#stIm#}

<L>130539<pc>7-202-c<k1>stuc<k2>*stuc	*√{#stuc#}

<L>130573<pc>7-203-b<k1>stUp<k2>*stUp	*√{#stUp#}

<L>130630<pc>7-204-b<k1>stomay<k2>*stomay	*!√{#stomay#}

<L>130822<pc>7-206-b<k1>sTal<k2>*sTal	*√{#sTal#}

<L>131092<pc>7-216-a<k1>sTuq<k2>*sTuq	*√{#sTuq#}

<L>131180<pc>7-217-a<k1>sTUlay<k2>*sTUlay	*!√{#sTUlay#}

<L>131331<pc>7-218-c<k1>sniw<k2>*sniw	*√{#sniw#}

<L>131346<pc>7-219-a<k1>snus<k2>*snus	*√{#snus#}

<L>131450<pc>7-221-b<k1>sparz<k2>*sparz	*√{#sparz#}

<L>131515<pc>7-222-b<k1>sPaRw<k2>*sPaRw	*√{#sPaRw#}

<L>131516<pc>7-222-b<k1>sPaRq<k2>*sPaRq	*√{#sPaRq#}

<L>131549<pc>7-223-a<k1>sPiw<k2>*sPiw	*√{#sPiw#}

<L>131550<pc>7-223-a<k1>sPiww<k2>*sPiww	*√{#sPiww#}

<L>131580<pc>7-223-c<k1>sPuww<k2>*sPuww	*√{#sPuww#}

<L>131581<pc>7-223-c<k1>sPuq<k2>*sPuq	*√{#sPuq#}

<L>131582<pc>7-223-c<k1>sPuRw<k2>*sPuRw	*√{#sPuRw#}

<L>131583<pc>7-223-c<k1>sPuRq<k2>*sPuRq	*√{#sPuRq#}

<L>131599<pc>7-224-a<k1>sPUrC<k2>*sPUrC	*√{#sPUrC#}

<L>131719<pc>7-226-b<k1>smiw<k2>*smiw	*√{#smiw#}

<L>131722<pc>7-226-b<k1>smIl<k2>*smIl	*√{#smIl#}

<L>131820<pc>7-228-b<k1>sraMh<k2>*sraMh	*√{#sraMh#}

<L>131829<pc>7-228-b<k1>sraNk<k2>*sraNk	*√{#sraNk#}

<L>131880<pc>7-229-a<k1>sriB<k2>*sriB	*√{#sriB#}

<L>131882<pc>7-229-b<k1>srimB<k2>*srimB	*√{#srimB#}

<L>131903<pc>7-230-a<k1>srucay<k2>*srucay	*!√{#srucay#}

<L>131906<pc>7-230-a<k1>srucy<k2>*srucy	*!√{#srucy#}

<L>131924<pc>7-230-b<k1>srek<k2>*srek	*√{#srek#}

<L>131948<pc>7-230-b<k1>srOGnIy<k2>*srOGnIy	*!√{#srOGnIy#}

<L>131954<pc>7-230-c<k1>sv<k2>*sv	*√{#sv#}

<L>131957<pc>7-230-c<k1>svaHkAmy<k2>*svaHkAmy	*!√{#svaHkAmy#}

<L>132005<pc>7-231-b<k1>svaNg<k2>*svaNg	*√{#svaNg#}

<L>132050<pc>7-232-a<k1>svaW<k2>*svaW	*√{#svaW#}

<L>132685<pc>7-240-c<k1>svart<k2>*svart	*√{#svart#}

<L>132687<pc>7-240-c<k1>svard<k2>*svard	*√{#svard#}

<L>133046<pc>7-245-b<k1>svApakIy<k2>*svApakIy	*!√{#svApakIy#}

<L>133087<pc>7-245-c<k1>svAy<k2>*svAy	*!√{#svAy#}

<L>133208<pc>7-247-c<k1>svUrC<k2>*svUrC	*√{#svUrC#}

<L>133213<pc>7-247-c<k1>svek<k2>*svek	*√{#svek#}

<L>133384<pc>7-249-c<k1>haw<k2>*haw	*√{#haw#}

<L>133395<pc>7-250-a<k1>haW<k2>*haW	*√{#haW#}

<L>133461<pc>7-253-a<k1>hananIya<k2>*hananIya	*√{#hananIya#}

<L>133512<pc>7-253-c<k1>hamm<k2>*hamm	*√{#hamm#}

<L>133514<pc>7-253-c<k1>hay<k2>*hay	*!√{#hay#}

<L>133990<pc>7-263-c<k1>hal<k2>*hal	*√{#hal#}

<L>134007<pc>7-264-a<k1>halay<k2>*halay	*!√{#halay#}

<L>134589<pc>7-273-c<k1>hiw<k2>*hiw	*√{#hiw#}

<L>134917<pc>7-277-c<k1>hil<k2>*hil	*√{#hil#}

<L>134922<pc>7-277-c<k1>hillolay<k2>*hillolay	*!√{#hillolay#}

<L>134924<pc>7-277-c<k1>hizk<k2>*hizk	*√{#hizk#}

<L>134985<pc>7-278-c<k1>huq<k2>*huq	*√{#huq#}

<L>134993<pc>7-278-c<k1>huRq<k2>*huRq	*√{#huRq#}

<L>135034<pc>7-279-b<k1>hul<k2>*hul	*√{#hul#}

<L>135057<pc>7-279-b<k1>hUq<k2>*hUq	*√{#hUq#}

<L>135258<pc>7-281-c<k1>hew<k2>*hew	*√{#hew#}

<L>135268<pc>7-281-c<k1>heQ<k2>*heQ	*√{#heQ#}

<L>135528<pc>7-285-a<k1>hoq<k2>*hoq	*√{#hoq#}

<L>135532<pc>7-285-a<k1>hoQ<k2>*hoQ	*√{#hoQ#}

<L>135534<pc>7-285-a<k1>hoQAy<k2>*hoQAy	*!√{#hoQAy#}

<L>135625<pc>7-286-a<k1>hOq<k2>*hOq	*√{#hOq#}

<L>135645<pc>7-286-c<k1>hmal<k2>*hmal	*√{#hmal#}

<L>135652<pc>7-286-c<k1>hrag<k2>*hrag	*√{#hrag#}

<L>135663<pc>7-286-c<k1>hrap<k2>*hrap	*√{#hrap#}

<L>135718<pc>7-287-b<k1>hrIC<k2>*hrIC	*√{#hrIC#}

<L>135734<pc>7-287-c<k1>hruq<k2>*hruq	*√{#hruq#}

<L>135737<pc>7-287-c<k1>hrUq<k2>*hrUq	*√{#hrUq#}

<L>135740<pc>7-287-c<k1>hrep<k2>*hrep	*√{#hrep#}

<L>135748<pc>7-287-c<k1>hrOq<k2>*hrOq	*√{#hrOq#}

<L>135750<pc>7-287-c<k1>hlag<k2>*hlag	*√{#hlag#}

<L>135752<pc>7-287-c<k1>hlap<k2>*hlap	*√{#hlap#}

<L>135753<pc>7-287-c<k1>hlas<k2>*hlas	*√{#hlas#}

<L>135784<pc>7-288-c<k1>hvAyakIy<k2>*hvAyakIy	*!√{#hvAyakIy#}

